id	station	city
87313486	Gare de Nesle (Somme)	Nesle
87313494	Gare de Ham (Somme)	Muille-Villette
87313510	Gare de Beauvais-Gare-SNCF	Beauvais
87313544	Gare de Cramoisy	Cramoisy
87313551	Gare de Cires-lès-Mello	Cires-Les-Mello
87313569	Gare de Balagny-St-Epin	Balagny-Sur-Therain
87313577	Gare de Mouy-Bury	Bury
87313585	Gare de Hermes-Berthecourt	Berthecourt
87313593	Gare de Villers-St-Sépulcre	Villers-Saint-Sepulcre
87313601	Gare de Rochy-Condé	Rochy-Conde
87313668	Gare de Méru	Meru
87313676	Gare de Laboissière-le-Déluge	Laboissiere-En-Thelle
87313684	Gare de St-Sulpice-Auteuil	Saint-Sulpice
87313692	Gare de Herchies	Herchies
87313700	Gare de Milly-sur-Thérain	Milly-Sur-Therain
87313718	Gare de St-Omer-en-Chaussée	Saint-Omer-En-Chaussee
87313726	Gare de Marseille-en-Beauvaisis	Marseille-en-Beauvaisis
87313734	Gare de Grandvilliers	Grandvilliers
87313742	Gare de Feuquières-Broquiers	Feuquieres
87313759	Gare de Abancourt	Abancourt
87313767	Aumale	Aumale
87313809	Blangy-sur-Bresle	Blangy-Sur-Bresle
87313817	Longroy-Gamaches	Longroy
87313833	Gare de Formerie	Formerie
87313841	Gare de Fouilloy	Fouilloy
87313874	Gare de Amiens	Amiens
87315044	Gare de Daours	Aubigny
87316059	Gare de Heilly	Heilly
87316067	Gare de Buire sur l'Ancre	Buire-Sur-L'Ancre
87316075	Gare de Dreuil-lès-Amiens	Dreuil-Les-Amiens
87316109	Gare de Dommartin-Remiencourt	Dommartin
87316125	Gare de Thézy-Glimont	Thezy-Glimont
87316208	Gare de Wacquemoulin	Wacquemoulin
87316398	Gare de Heilles-Mouchy	Heilles
87316406	Gare de Montreuil-sur-Thérain	Montreuil-Sur-Therain
87316679	Gare de Pihen	Pihen-Les-Guines
87316687	Gare de Le Haut-Banc	Ferques
87317016	Gare de Boulogne Tintelleries	Boulogne-Sur-Mer
87317057	Gare de Rang du Fl. Verton Ber.	Rang-Du-Fliers
87317065	Gare de Etaples Le Touquet	Etaples
87317081	Gare de Dannes Camiers	Camiers
87317099	Gare de Neufchâtel-Hardelot-Pge	Neufchatel-Hardelot
87317107	Gare de Hesdigneul	Hesdigneul-Les-Boulogne
87317115	Gare de Pont de Briques	Saint-Etienne-Au-Mont
87317123	Gare de Wimille Wimereux	Wimille
87317263	Gare de Calais Ville	Calais
87317305	Gare de Les Fontinettes	Calais
87317321	Gare de Caffiers	Caffiers
87317339	Gare de Marquise Rinxent	Rinxent
87317362	Gare de Abbeville	Abbeville
87317396	Gare de Noyelles-sur-Mer	Noyelles-Sur-Mer
87317404	Gare de Rue	Rue
87317537	Eu	Eu
87317610	Gare de Beau Marais	Calais
87318964	Gare de Avignon-TGV	Avignon
87321745	Gare de Penhoet	Saint-Nazaire
87322347	Gare de Traou Nez	Plourivo
87323675	Gare de Montluçon-Rimard	Montlucon
87324095	Gare de Futuroscope	Chasseneuil-Du-Poitou
87324335	Gare de Hirson-Ecoles	Hirson
87328021	Gare de Les Cauquillous	Lavaur
87328195	Gare de Thesee	Thesee
87334490	Gare de Cesson-Sévigné	Cesson-Sevigne
87334508	Gare de La Poterie	Rennes
87337378	Gare de Dives-sur-Mer-Port-Guil	Dives-Sur-Mer
87338517	Gare de Hoenheim-Tram	HNheim
87338525	Gare de Krimmeri-Meinau	Strasbourg
87342006	Gare de Béthune	Bethune
87342014	Gare de Arras	Arras
87342030	Gare de Miraumont	Miraumont
87342048	Gare de Achiet	Achiet-Le-Grand
87342063	Gare de Courcelles-le-Comte	Courcelles-Le-Comte
87342071	Gare de Boisleux	Boisleux-Au-Mont
87342089	Gare de Roeux (Pas de Calais)	RUx
87342097	Gare de Biache St Vaast	Biache-Saint-Vaast
87342105	Gare de Bully Grenay	Grenay
87342113	Gare de Vitry en Artois	Vitry-En-Artois
87342121	Gare de Mazingarbe	Mazingarbe
87342139	Gare de Noeux	NUx-Les-Mines
87342188	Gare de Maroeuil	MarUil
87342204	Gare de Fouquereuil	Fouquereuil
87342212	Gare de Frévin Capelle	Frevin-Capelle
87342220	Gare de Chocques	Chocques
87342238	Gare de Lillers	Lillers
87342246	Gare de Aubigny en Artois	Aubigny-En-Artois
87342253	Gare de Savy-Berlette	Savy-Berlette
87342261	Gare de Ham en Artois	Ham-En-Artois
87342279	Gare de Isbergues	Isbergues
